locus_tag	gene_name	start_site	end_site	gene_length
NGK_RS01380		264517	265482	966
NGK_RS01385		265482	266369	888
NGK_RS01390		266496	267791	1296
NGK_RS01395		267885	269189	1305
NGK_RS01400	rho	269804	271063	1260
NGK_RS01405	ppsA	271284	273668	2385
NGK_RS01415		274023	274676	654
NGK_RS01420		274802	275623	822
NGK_RS01425		275709	276371	663
NGK_RS01430		276409	277236	828
NGK_RS01435	lolA	277619	278242	624
NGK_RS01445		278515	279654	1140
NGK_RS16145		279749	280015	267
NGK_RS01450		280023	280781	759
NGK_RS01455		280822	281352	531
NGK_RS01460		281520	283115	1596
NGK_RS01465	hisI	283222	283617	396
NGK_RS14190	hisF	283648	284415	768
NGK_RS14195	hisA	284428	285165	738
NGK_RS01480	hisH	285198	285836	639
NGK_RS01485	pta	285966	287468	1503
NGK_RS01490	fbpC	287653	288711	1059
NGK_RS01495	fbpB	288732	290249	1518
NGK_RS01500	fbpA	290317	291312	996
NGK_RS01505		291564	292044	481
NGK_RS01510	argH	292102	293477	1376
NGK_RS01515	galU	293496	294365	870
NGK_RS01520	rdgB	294393	294992	600
NGK_RS01525		294985	295218	234
NGK_RS01530		295326	295859	534
NGK_RS01535	nudB	295961	296419	459
NGK_RS01540		296630	296706	77
NGK_RS01545	mafB	296969	298855	1887
NGK_RS01550		298886	299305	420
NGK_RS12570		299342	299587	246
NGK_RS12575	imm31	299584	299824	241
NGK_RS01560		299902	300147	246
NGK_RS01565		300150	300540	391
NGK_RS01570		300580	302037	1458
NGK_RS01575		302052	302882	831
NGK_RS01580		302959	303348	390
NGK_RS01585	nspA	303495	304022	528
NGK_RS01600	hemW	304465	305640	1176
NGK_RS01605	ligA	305697	308168	2472
NGK_RS01610		308302	309588	1287
NGK_RS01615	ampD	309782	310354	573
NGK_RS01620	mltG	310438	311433	996
NGK_RS01625	tmk	311493	312113	621
NGK_RS01630		312335	313615	1281
NGK_RS01635	lpxK	314017	315048	1032
NGK_RS01640		315254	315787	534
NGK_RS14900		315772	315879	108
NGK_RS01645		316009	316191	183
NGK_RS01650	kdsB	316188	316949	762
NGK_RS15730		316972	317487	516
NGK_RS01670		317644	317736	93
NGK_RS01675	trpA	318010	318795	786
NGK_RS01680	accD	318832	319704	873
NGK_RS01685		319764	320375	612
NGK_RS01690		320483	320707	225
NGK_RS01695		320738	321124	387
NGK_RS01700		321125	321989	865
NGK_RS16335		322197	322367	171
NGK_RS01705	pyrC	322428	323462	1035
NGK_RS01710	nusB	323541	323966	426
NGK_RS01715	ribH	324044	324520	477
NGK_RS01720		324567	324890	324
NGK_RS01725	rnc	325058	325777	720
NGK_RS01730	era	325824	326747	924
NGK_RS01740		326900	329088	2189
NGK_RS01745	lbpA	329085	331916	2832
NGK_RS01750		332390	333016	627
NGK_RS01755	greB	333075	333566	492
NGK_RS01760	purF	333666	335210	1545
NGK_RS01765		335404	335901	498
NGK_RS01770	ftsN	335894	336934	1041
NGK_RS01775	folC	336948	338222	1275
NGK_RS01780		338253	338693	441
NGK_RS01785		338698	339057	360
NGK_RS01790		339130	339858	729
NGK_RS01795		339900	340355	456
NGK_RS01800		340466	341035	570
NGK_RS01805	rsmA	341050	341829	780
NGK_RS01810		342174	342734	561
NGK_RS01815	trpB	342817	344019	1203
NGK_RS01820		344095	348876	4782
NGK_RS15285		348955	349230	276
NGK_RS01825		349262	351481	2220
NGK_RS01830		351551	352354	804
NGK_RS01835	rluD	352353	353477	1125
NGK_RS01840		353630	354577	948
NGK_RS12610		354654	354878	225
NGK_RS01845	pgeF	355031	355810	780
NGK_RS01850	lptE	355863	356342	480
NGK_RS01855	holA	356344	357342	999
NGK_RS01860		357463	357882	420
NGK_RS01865		357958	358473	516
NGK_RS01870		358564	359448	885
NGK_RS01875		359548	360024	477
NGK_RS01880	rpoH	360181	361044	864
NGK_RS01885	lnt	361308	362846	1539
NGK_RS01890		362915	363655	741
NGK_RS01895		363859	365580	1722
NGK_RS01900		365577	366044	468
NGK_RS01905	hemH	366235	367317	1083
NGK_RS01910	tgt	367327	368442	1116
NGK_RS01915		368621	368697	77
NGK_RS01920	thrS	368750	370663	1914
NGK_RS01925	infC	370681	371202	522
NGK_RS01930	rpmI	371349	371546	198
NGK_RS01935	rplT	371559	371918	360
NGK_RS01940	pheS	372159	373148	990
NGK_RS01945		373165	373578	414
NGK_RS15735		373685	373894	210
NGK_RS01955		373887	374177	291
NGK_RS01960		374183	374932	750
NGK_RS01965	pheT	375023	377386	2364
NGK_RS01970		377460	377762	303
NGK_RS01975		377746	378054	309
NGK_RS01980		378230	378715	486
NGK_RS15740		378907	379131	225
NGK_RS01990	bioA	379349	380650	1302
NGK_RS01995	bioD	380647	381294	648
NGK_RS02000		381309	381785	477
NGK_RS16495		381805	381900	96
NGK_RS02005		381909	382316	408
NGK_RS02010	ubiA	382306	383196	891
NGK_RS02015	ptsN	383381	383830	450
NGK_RS02020	hprK	383834	384796	963
NGK_RS02025	rapZ	384777	385631	855
NGK_RS02030	ylqF	385712	386653	942
NGK_RS16150		386657	386788	132
NGK_RS02035		386754	387356	603
NGK_RS02040	recN	387540	389213	1674
NGK_RS02045		389324	389400	77
NGK_RS02050		389418	389492	75
NGK_RS02055	mnmC	390021	391640	1620
NGK_RS02060		391760	392128	369
NGK_RS02065	ubiE	392171	392908	738
NGK_RS02070		393128	393607	480
NGK_RS02075	folK	393735	394229	495
NGK_RS02080		394239	394613	375
NGK_RS02085		394667	395233	567
NGK_RS02090	hfq	395318	395611	294
NGK_RS02095		395740	396678	939
NGK_RS02100		396999	397439	441
NGK_RS02105	xerD	397491	398366	876
NGK_RS02110		398538	398738	201
NGK_RS16155		398752	398886	135
NGK_RS02115		398904	399137	234
NGK_RS02120	rfbD	399508	400371	864
NGK_RS02125		400564	401427	864
NGK_RS02130	pnp	401661	403784	2124
NGK_RS02135		403857	404525	669
NGK_RS02140		404522	404836	315
NGK_RS02145	dapF	404973	405824	852
NGK_RS02150		405821	406426	606
NGK_RS02155	cysK	406622	407554	933
NGK_RS02160		407863	408770	908
NGK_RS15295		408816	408965	150
NGK_RS14910		409189	409296	108
NGK_RS02170	lepB	409401	410420	1020
NGK_RS02175	lepA	410566	412359	1794
NGK_RS02180		412501	413202	702
NGK_RS02185		413370	414500	1131
NGK_RS02190		414534	415511	978
NGK_RS02195		415515	415865	351
NGK_RS02200		415870	416649	780
NGK_RS02205		416675	416890	216
NGK_RS02210	grxD	416991	417302	312
NGK_RS02220	upp	417408	418034	627
NGK_RS02225		418057	418377	321
NGK_RS02230		418546	419187	642
NGK_RS02235		419217	420041	825
NGK_RS02240		420041	421009	969
NGK_RS02245		421291	421713	423
NGK_RS02250		421731	422495	765
NGK_RS02255		422507	423841	1335
NGK_RS02260		423838	425055	1218
NGK_RS02265	hemE	425130	426194	1065
NGK_RS02270		426257	428146	1890
NGK_RS02275		428147	429184	1038
NGK_RS02280		429181	430305	1125
NGK_RS02285		430320	430607	288
NGK_RS02290	radA	430712	432091	1380
NGK_RS02295		432366	432845	480
NGK_RS02300		432970	433329	360
NGK_RS02305	recB	433368	436970	3603
NGK_RS02310		437047	437955	909
NGK_RS02320		438240	439067	828
NGK_RS02325		439057	439773	717
NGK_RS02330		439783	440538	756
NGK_RS02335		440594	441976	1383
NGK_RS02340		442144	442653	510
NGK_RS02345		442773	444188	1416
NGK_RS02350		444417	444779	363
NGK_RS02355		444776	444982	207
NGK_RS02360	pth	445043	445621	579
NGK_RS02365		445674	445952	279
NGK_RS02370		445945	446376	432
NGK_RS02375	ftsH	446598	448565	1968
NGK_RS02380		448629	449249	621
NGK_RS02385	yhbY	449359	449643	285
NGK_RS02390	hemB	449827	450828	1002
NGK_RS02395		450892	452049	1158
NGK_RS02400	folE2	452252	453025	774
NGK_RS02405		453222	453887	666
NGK_RS02410		453942	454700	759
NGK_RS02415		454725	455615	891
NGK_RS02420		455635	456201	567
NGK_RS02425		456251	457027	777
NGK_RS02430		457082	457732	651
NGK_RS02435	murB	457744	458784	1041
NGK_RS02440	norM	458828	460207	1380
NGK_RS02450		460542	461693	1152
NGK_RS02455		461798	463096	1299
NGK_RS02460	htpX	463332	464171	840
NGK_RS02465	adk	464386	465033	648
NGK_RS02470	pyrF	465557	466297	741
NGK_RS02475	hldA	466353	467315	963
NGK_RS02480	rfaD	467379	468383	1005
NGK_RS02485		468458	470002	1545
NGK_RS02490	dinD	470118	470969	852
NGK_RS16500		471136	472346	1211
NGK_RS02505		472577	475675	3099
NGK_RS02510	clpA	475715	478006	2292
NGK_RS02515	clpS	478008	478310	303
NGK_RS02520		478555	478758	204
NGK_RS02525	pmbA	479057	480388	1332
NGK_RS02530	yjgA	480542	481048	507
NGK_RS02535		481095	481808	714
NGK_RS02540	recJ	481877	483577	1701
NGK_RS02545		483935	485293	1359
NGK_RS02550		485466	485789	324
NGK_RS02555		485894	486847	954
NGK_RS16505		486873	487430	558
NGK_RS16510		487458	487853	396
NGK_RS16515		487778	488080	303
NGK_RS02570		488212	488916	705
NGK_RS02575	dcd	488982	489548	567
NGK_RS02580		489615	490032	418
NGK_RS02585		490084	490983	900
NGK_RS02590	der	491014	492471	1458
NGK_RS02595		492621	493250	630
NGK_RS02600	hisS	493251	494546	1296
NGK_RS02605		494674	495330	657
NGK_RS02610		495386	495610	225
NGK_RS12685		496035	496321	287
NGK_RS02620		496557	496828	272
NGK_RS02630		497705	497908	204
NGK_RS02635		498004	498486	483
NGK_RS02640		498651	499574	924
NGK_RS02645		499653	500294	642
NGK_RS02650		500349	501140	792
NGK_RS02655		501306	501381	76
NGK_RS02660	panB	501523	502314	792
NGK_RS02665	panC	502437	503273	837
NGK_RS02670		503600	505438	1839
NGK_RS02675		505578	506159	582
NGK_RS02680	ispE	506169	507014	846
NGK_RS02685		507022	507097	76
NGK_RS02690		507110	507185	76
NGK_RS02695		507353	508336	984
NGK_RS02700		508403	508975	573
NGK_RS02705		509101	510270	1170
NGK_RS02710	ilvA	510419	511945	1527
NGK_RS02715		512001	513077	1077
NGK_RS14925		513100	513234	135
NGK_RS02725	cysW	513218	514039	822
NGK_RS02730	cysT	514228	515057	830
NGK_RS02735		515243	515575	333
NGK_RS02740		515905	516414	510
NGK_RS02745		516646	517227	582
NGK_RS02750	dnaB	517391	518794	1404
NGK_RS16520		518788	518900	113
NGK_RS02755		519052	519714	663
NGK_RS02760	pilV	519746	520360	615
NGK_RS02765		520357	521316	960
NGK_RS02770		521295	521906	612
NGK_RS02775		521908	522381	474
NGK_RS02780		522451	522759	309
NGK_RS02785		522756	523467	712
NGK_RS02790	dut	523633	524085	453
NGK_RS02795	dapC	524157	525344	1188
NGK_RS02800	yaaA	525500	526279	780
NGK_RS02805		526362	526452	91
NGK_RS02810		526529	526618	90
NGK_RS02815		526809	528009	1201
NGK_RS02825		528365	528634	270
NGK_RS02830		528829	529512	684
NGK_RS16345		529793	530059	267
NGK_RS02840		530170	530385	216
NGK_RS02845		530437	530928	492
NGK_RS02850		530925	531107	183
NGK_RS02855		531247	531933	687
NGK_RS02860		532002	532163	162
NGK_RS02865		532160	532438	279
NGK_RS02870		532591	532923	333
NGK_RS02875		533064	533351	288
NGK_RS02880		533348	533824	477
NGK_RS02885		533857	534057	201
NGK_RS02890		534255	534668	414
NGK_RS02895		534665	535126	462
NGK_RS02900		535143	535580	438
NGK_RS02905		535697	536413	717
NGK_RS12705		536488	536718	231
NGK_RS02910		536798	536953	156
NGK_RS02915		536930	537118	189
NGK_RS02920		537291	537518	228
NGK_RS15305		537515	537652	138
NGK_RS15745		538197	538700	504
NGK_RS02930		538697	540058	1362
NGK_RS02935		540075	540305	231
NGK_RS02940		540397	540891	495
NGK_RS02950		541275	541424	150
NGK_RS15750		541453	541734	282
NGK_RS02960		541725	542162	438
NGK_RS02965		542155	542460	306
NGK_RS02970		542457	542840	384
NGK_RS02975		542831	543349	519
NGK_RS02980		543414	543836	423
NGK_RS15755		543836	544375	540
NGK_RS02995		544356	545630	1275
NGK_RS03000		545615	547882	2268
NGK_RS03005		548119	549315	1197
NGK_RS03010		549312	556616	7305
NGK_RS03015		557242	558537	1296
NGK_RS03020		558592	559065	474
NGK_RS03025		559071	559556	486
NGK_RS03030		559553	559828	276
NGK_RS03035		559819	560226	408
NGK_RS03040		560217	560378	162
NGK_RS03045		560415	561260	846
NGK_RS03050		561420	561587	168
NGK_RS03055		562547	562849	303
NGK_RS03060		563146	565371	2226
NGK_RS15310		565450	565710	261
NGK_RS03070	lst	565701	566837	1137
NGK_RS03075		566980	567438	459
NGK_RS03080		567557	568378	822
NGK_RS03085	yciA	568429	568875	447
NGK_RS15315		569633	569782	150
NGK_RS03090		569796	570563	768
NGK_RS03095	nalP	571005	574204	3200
NGK_RS03110		574314	574690	377
NGK_RS03115		574842	575165	324
NGK_RS03120		575168	575356	189
NGK_RS12750		575424	575762	339
NGK_RS03130		575832	576149	318
NGK_RS15760		576146	576439	294
NGK_RS15765		576419	576757	339
NGK_RS03140		576841	577143	303
NGK_RS03145	mafB	577159	578565	1407
NGK_RS14255		578605	578727	123
NGK_RS12760		579059	579469	411
NGK_RS03150		579473	580366	894
NGK_RS03155		580384	580728	345
NGK_RS03160		581127	581528	402
NGK_RS15770		581532	581984	453
NGK_RS15775		581976	582281	306
NGK_RS03170		582512	582871	360
NGK_RS03175		582892	583098	207
NGK_RS03180	mafB	583064	584593	1530
NGK_RS03185	mafA	584633	585595	963
NGK_RS12770		585665	586042	378
NGK_RS03190		586150	586344	195
NGK_RS03195		586334	588415	2082
NGK_RS15320		588938	589318	381
NGK_RS15325		589454	589942	489
NGK_RS03210		590274	591707	1434
NGK_RS03215		591818	592603	786
NGK_RS03225		592971	594527	1557
NGK_RS03230	surE	594544	595290	747
NGK_RS03235		595392	596405	1014
NGK_RS03240		596803	597285	483
NGK_RS03250		597438	597599	162
NGK_RS03255	recX	597673	598134	462
NGK_RS03260		598207	598917	711
NGK_RS03275		599312	600531	1220
NGK_RS03280		600591	601397	807
NGK_RS03285		601589	601798	210
NGK_RS03290		601887	603101	1215
NGK_RS03295	clpB	603173	605752	2580
NGK_RS03300	trpS	606012	607022	1011
NGK_RS03305		607103	607648	546
NGK_RS03310		607965	608309	345
NGK_RS03315		608519	610027	1509
NGK_RS03320		610190	611026	837
NGK_RS16525		611112	611426	315
NGK_RS03325		611443	612129	687
NGK_RS03335		612491	612981	491
NGK_RS03340		613018	613284	267
NGK_RS03350		613786	614409	624
NGK_RS03355		614521	615903	1383
NGK_RS03360	ssb	615907	616431	525
NGK_RS03365		616804	617727	924
NGK_RS03370	fumC	617792	619180	1389
NGK_RS03375	tkt	619324	621303	1980
NGK_RS03390	ccoG	621838	623334	1497
NGK_RS03395		623337	623885	549
NGK_RS03400		624227	625402	1176
NGK_RS14950		625560	625676	117
NGK_RS03405		625839	625913	75
NGK_RS03410		625931	626007	77
NGK_RS03415		626125	627510	1386
NGK_RS14290		627620	627808	189
NGK_RS03420		627849	629615	1767
NGK_RS16530		629608	630489	882
NGK_RS03430		630526	630810	285
NGK_RS03435		630797	631027	231
NGK_RS03445		631299	631679	381
NGK_RS03450		631913	632596	684
NGK_RS15790		632571	632951	381
NGK_RS15795		632948	633322	375
NGK_RS12810		633319	633957	639
NGK_RS03465		634077	634364	288
NGK_RS03470		634438	634659	222
NGK_RS03475		634652	634861	210
NGK_RS15800		635024	635536	513
NGK_RS12820		635512	635691	180
NGK_RS03485	cas8c	635688	636974	1287
NGK_RS03500	cas7c	636994	637754	761
NGK_RS03505		637781	638149	369
NGK_RS03510	cas4	638156	638806	651
NGK_RS03515		638922	639281	360
NGK_RS03520		639424	640047	624
NGK_RS12830	cas1	640107	640463	357
NGK_RS03530		640424	640744	321
NGK_RS03535		640880	641107	228
NGK_RS03540	rpoD	641147	643075	1929
NGK_RS03545	dnaG	643262	645034	1773
NGK_RS03550	secA	645179	647929	2751
NGK_RS03555		648061	648483	423
NGK_RS03565	azu	648766	649317	552
NGK_RS03570		649412	649921	510
NGK_RS03575		649955	650575	621
NGK_RS03580	dapE	650688	651833	1146
NGK_RS03585		652253	653068	816
NGK_RS16350		653046	653603	558
NGK_RS03595		653953	654705	753
NGK_RS03600		654896	654971	76
NGK_RS03605	waaF	655102	656112	1011
NGK_RS03610	smpB	656167	656613	447
NGK_RS03615		657671	659014	1344
NGK_RS03620		658997	659302	306
NGK_RS03625		659343	660710	1368
NGK_RS03630		660820	661131	312
NGK_RS03640		661604	662086	483
NGK_RS03645	hpnC	662173	662985	813
NGK_RS03650		663058	663528	471
NGK_RS03655		663619	665460	1842
NGK_RS03665		665974	667170	1197
NGK_RS03670		667521	667820	300
NGK_RS03675	ccoS	667820	668005	186
NGK_RS03680		667995	669305	1311
NGK_RS03685	dnaQ	669461	670195	735
NGK_RS03690	ispD	670192	670881	690
NGK_RS03695	ispF	670913	671395	483
NGK_RS03700	rpiA	671472	672143	672
NGK_RS03705		672212	672883	672
NGK_RS15820		672899	673078	180
NGK_RS03715		673062	673808	747
NGK_RS03725		674261	675679	1419
NGK_RS03735	argS	676235	677953	1719
NGK_RS03740	pncB	678045	679253	1209
NGK_RS03745		679294	680148	855
NGK_RS16185		680258	680389	132
NGK_RS03750		680393	681169	777
NGK_RS03755		681386	681850	465
NGK_RS03760	rph	681932	682660	729
NGK_RS03770		682862	684079	1218
NGK_RS14305		684305	684481	177
NGK_RS03785		684859	685074	216
NGK_RS03790	tdfH	685105	687873	2769
NGK_RS15330		688032	688202	171
NGK_RS03795		688216	688890	675
NGK_RS15335		688907	689077	171
NGK_RS03805	pip	689475	690407	933
NGK_RS03810	bamC	690464	691660	1197
NGK_RS03815	dapA	691669	692544	876
NGK_RS03820		692924	694298	1375
NGK_RS03825	rlmB	694360	695112	753
NGK_RS03830		695178	695666	489
NGK_RS03835	tadA	695671	696390	720
NGK_RS03840	miaA	696394	697335	942
NGK_RS03850		697686	697964	279
NGK_RS03855	earP	697983	699134	1152
NGK_RS03860	efp	699177	699737	561
NGK_RS16535		699897	700715	819
NGK_RS03875	metW	700832	701413	582
